spb;nn;7.5;7.4;7.2;7;6.9;6.8;6.7;6.6
spb;novosib;14.8;14.7;14.3;14.2;14;13.8;13.5;12.7
spb;orenburg;8.9;8.9;8.7;8.5;8.4;8.3;8;7.6
spb;orsk;10.1;10;9.9;9.7;9.5;9.3;9.1;9
spb;perm;8.8;8.8;8.6;8.4;8.3;8.2;8.1;7.6
spb;rnd;7.6;7.5;7.3;7.2;7.1;7;6.7;6.4
spb;samara;9;9;8.9;8.8;8.6;8.4;8.2;7.7
spb;saratov;8.6;8.6;8.6;8.3;8.2;8;7.8;7.2
spb;toljatti;8.6;8.5;8.3;8.2;8.1;8;7.8;7.2
spb;tumen;12.2;12.1;11.8;11.5;11.4;11.3;10.9;10.4
spb;chelyabinsk;10.7;10.6;10.3;10.1;10;9.8;9.6;9.1
spb;engels;9.5;9.5;9.5;9.4;9.2;9;8.7;8.5
toljatti;belgorod;8;8;7.9;7.9;7.7;7.6;7.3;7.1
toljatti;volgograd;7;7;7;6.8;6.6;6.2;5.7;5.2
toljatti;vrn;6.2;6.2;6.1;6;5.9;5.7;5.5;5
toljatti;ekat;7.3;7.2;7.1;7;6.9;6.7;6.6;6.5
toljatti;krasnodar;8.3;8.2;8.1;8;7.9;7.5;7.1;7
toljatti;kursk;7;7;6.9;6.8;6.6;6.4;6.2;6
toljatti;lipetsk;7.9;7.8;7.6;7.3;7.1;7;6.9;6.8
toljatti;moscow;6;6;6;5.8;5.5;5.4;5.2;5
toljatti;murmansk;10.7;10.7;10.6;10.4;10.1;9.8;9.8;9.5
toljatti;nn;6.3;6.2;6.1;6;5.8;5.7;5.5;5.4
toljatti;novosib;13;13;12.8;12.8;12.7;12.4;12;11.6
toljatti;orenburg;5;5;5;4.9;4.9;4.8;4.7;4.2
toljatti;orsk;5.6;5.6;5.6;5.4;5.3;5.2;5;4.8
toljatti;perm;8.8;8.7;8.5;8.3;8.1;7.8;7.6;7.1
toljatti;rnd;7.5;7.4;7.3;7.1;7;6.9;6.7;6.5
toljatti;samara;2.5;2.4;2.3;2.2;2.1;2;2;1.9
toljatti;spb;7.3;7.3;7.2;6.9;6.8;6.7;6.5;6.4
toljatti;saratov;5.5;5.4;5.3;5;5;4.8;4.8;4.6
toljatti;tumen;9.6;9.6;9.6;9.3;9;8.7;8.7;8.5
toljatti;chelyabinsk;7.4;7.4;7.4;7.1;7.1;7;6.5;6.4
toljatti;engels;5.5;5.5;5.4;5.3;5.2;5.1;5;4.8
tumen;belgorod;10.7;10.6;10.5;10.3;10.2;10;9.7;9.4
tumen;volgograd;9;9;8.9;8.6;8.6;8.6;8.4;8.2
tumen;vrn;9;8.8;8.7;8.6;8.4;8.2;8;7.8
tumen;ekat;3.6;3.5;3.4;3.3;3.1;3.1;3;3
tumen;krasnodar;10.1;10.1;10;9.9;9.8;9.7;9.5;9
tumen;kursk;9.4;9.2;9;8.8;8.6;8.3;8.1;7.9
tumen;lipetsk;9;8.9;8.8;8.7;8.6;8.5;8.4;8.3
tumen;moscow;8;7.9;7.5;7.3;7.2;7.1;7.1;6.5
tumen;murmansk;11.1;11;10.9;10.6;10.4;10.3;10;9.5
tumen;nn;8.8;8.7;8.6;8.4;8.1;8;7.9;7.6
tumen;novosib;7.5;7.3;7.1;6.9;6.8;6.7;6.6;6.5
tumen;orenburg;11;10.9;10.6;10.4;10.2;10.1;10;9.6
tumen;orsk;9.2;9.2;8.9;8.8;8.7;8.6;8.3;8.1
tumen;perm;6;6;5.8;5.6;5.5;5.4;5.3;5
tumen;rnd;10.4;10.3;10.1;10;9.8;9.7;9.5;9.3
tumen;samara;7.9;7.9;7.8;7.7;7.5;7.4;7.3;7.2
tumen;spb;11;11;11;10;9.6;9;9;8.2
tumen;saratov;9.5;9.4;9.3;9.1;8.9;8.8;8.7;8.5
tumen;toljatti;9.4;9.4;9.3;9.1;9;8.9;8.6;8.3
tumen;chelyabinsk;4.8;4.7;4.5;4.4;4.1;3.8;3.8;3.6
tumen;engels;10.8;10.7;10.6;10.5;10.4;9.6;9.5;9
volgograd;belgorod;7.9;7.9;7.9;7.7;7.5;7.3;7.2;7
volgograd;vrn;6.5;6.5;6.3;6.1;6;5.5;5;4.9
volgograd;ekat;9.9;9.8;9.7;9.6;9.4;9.1;9;7.3
volgograd;krasnodar;5.1;5;4.8;4.7;4.6;4.1;4.1;3.6
volgograd;kursk;6.6;6.6;6.6;6.4;6.3;6.2;6.1;5.7
volgograd;lipetsk;6.8;6.7;6.6;6.5;6.3;6.3;6.2;6
volgograd;moscow;5.4;5.4;5.2;5;5.1;5.1;5;4.9
volgograd;murmansk;11;10.7;10.5;10.2;10;9.9;9.9;9.8
volgograd;nn;6.6;6.6;6.5;6.4;6.3;6.2;6;5.8
volgograd;novosib;14.2;14.1;13.9;13.8;13.5;13.2;13.1;12.8
volgograd;orenburg;7;6.8;6.6;6.4;6.3;6.2;6;5.9
volgograd;orsk;7;6.9;6.7;6.7;6.6;6.5;6.2;6.1
volgograd;perm;8.7;8.5;8.3;8.2;8.1;7.9;7.7;6.9
volgograd;rnd;4.5;4.5;4.5;4.3;4.2;4.1;4.1;3.8
volgograd;samara;6.5;6.4;6.3;6.2;5.6;5.5;5;4.8
volgograd;spb;6.5;6.5;6.4;6.2;6.1;5.6;5.5;4.9
volgograd;saratov;4.2;4.2;4;4;3.7;3.7;3.5;3.3
volgograd;toljatti;7.5;7.4;7.3;7.2;7.1;7;6.7;6
volgograd;tumen;11.3;11.2;11;10.9;10.6;10.4;10;9
volgograd;chelyabinsk;10.5;10.4;10.3;10.2;10;9;8.5;8.2
volgograd;engels;4.2;4.2;4;4;3.7;3.7;3.5;3.3
vrn;belgorod;4;4;3.8;3.5;3.5;3.5;3.5;3.5
vrn;volgograd;6.7;6.6;6.5;6.4;6.2;6.1;6;5.7
vrn;ekat;9.5;9.4;9.2;9;8.8;7.6;7.2;7
vrn;krasnodar;6;5.9;5.8;5.7;5.3;5.1;4.8;4.5
vrn;kursk;4;4;3.8;3.5;3.5;3.5;3.5;3.5
vrn;lipetsk;3.2;3.2;3.1;3;2.6;2.4;2.1;1.9
vrn;moscow;3.8;3.7;3.6;3.6;3.5;3.3;3.3;3.3
vrn;murmansk;10.8;10.7;10.6;10.5;10.1;9.8;9.7;9.5
vrn;nn;5.8;5.7;5.6;5.5;5.4;5.3;5.2;4.5
vrn;novosib;14.5;14.4;14.3;14.2;13.9;13.5;13.1;13
vrn;orenburg;9;8.9;8.7;8.5;7.4;7.1;7;6.8
vrn;orsk;9.5;9.3;9.1;8.9;8.1;7.9;7.5;7.2
vrn;perm;8.4;8.4;8.3;8;7.9;7.8;7.6;7.3
vrn;rnd;6;5.9;5.6;5.4;5.1;5;4.9;4.8
vrn;samara;7.5;7.4;7.3;7.2;6.3;6.1;5.9;5.6
vrn;spb;6.1;6;5.9;5.5;5.4;5.1;5;4.9
vrn;saratov;5.7;5.6;5.5;5.4;5.2;5;4.8;4.7
vrn;oskol;3;3;2.8;2.7;2.6;2.4;2.1;1.9
vrn;toljatti;7.7;7.6;7.5;7.4;7.2;6.9;6.5;6.3
vrn;tumen;9.8;9.7;9.4;9.1;9;9;8.5;8.2
vrn;chelyabinsk;10;9.9;9.8;9.6;9.4;9.2;9.1;8.5
vrn;engels;5.8;5.8;5.7;5.5;5.3;5;4.9;4.7 
